inc_day,all_fee_rmb
2016-01-19,1670.22955551
2016-01-20,1662.65647511
2016-01-21,1655.58693649
2016-01-22,1678.76610932
2016-01-23,1388.10398223
2016-01-24,1178.86232639
2016-01-25,1711.93252394
2016-01-26,1822.33309899
2016-01-27,1828.90470579
2016-01-28,1820.03948459
2016-01-29,1865.94163344
2016-01-30,1613.07173884
2016-01-31,1434.89127861
2016-02-01,1548.65840601
2016-02-02,1424.77868927
2016-02-03,1132.87867841
2016-02-04,862.996537473
2016-02-05,717.6018888
2016-02-06,603.927385763
2016-02-07,666.049382096
2016-02-08,628.848217101
2016-02-09,1175.47751057
2016-02-10,1664.18673546
2016-02-11,2339.91154164
2016-02-12,2208.63462666
2016-02-13,2090.9534044
2016-02-14,1117.76528412
2016-02-15,1248.11893
2016-02-16,1198.50791405
2016-02-17,1167.80912187
2016-02-18,1182.4196251
2016-02-19,1233.52999972
2016-02-20,1020.82023384
2016-02-21,839.851020292
2016-02-22,1130.6866913
2016-02-23,1216.43466584
2016-02-24,1253.5297128
2016-02-25,1255.38445425
2016-02-26,1298.47367017
2016-02-27,988.850372079
2016-02-28,820.862862423
2016-02-29,1221.61722448
2016-03-01,1294.17027769
2016-03-02,1320.67365001
2016-03-03,1362.84385838
2016-03-04,1600.45868223
2016-03-05,1244.72365633
2016-03-06,950.610077136
2016-03-07,1387.06497626
2016-03-08,1349.2975019
2016-03-09,1354.17865853
2016-03-10,1274.36900455
2016-03-11,1343.18696668
2016-03-12,994.667104564
2016-03-13,774.06077137
2016-03-14,1267.03002075
2016-03-15,1305.54372306
2016-03-16,1290.28316506
2016-03-17,1302.48653427
2016-03-18,1330.69308716
2016-03-19,1045.11418913
2016-03-20,772.802577795
2016-03-21,1278.14859479
2016-03-22,1369.02294626
2016-03-23,1354.79799444
2016-03-24,1370.70196704
2016-03-25,1401.6058132
2016-03-26,1068.10735939
2016-03-27,786.895371244
2016-03-28,1345.49676087
2016-03-29,1387.69153106
2016-03-30,1372.81699348
2016-03-31,1327.23981954
2016-04-01,1403.19480521
2016-04-02,998.84104832
2016-04-03,809.453158834
2016-04-04,744.785170365
2016-04-05,1327.7965236
2016-04-06,1398.6509873
2016-04-07,1419.8593081
2016-04-08,1393.51918743
2016-04-09,1094.97578309
2016-04-10,847.741063006
2016-04-11,1380.2630312
2016-04-12,1419.91162355
2016-04-13,1391.72869895
2016-04-14,1343.21991493
2016-04-15,1392.80754951
2016-04-16,1042.92084649
2016-04-17,848.431644432
2016-04-18,1410.79007478
2016-04-19,1467.48787982
2016-04-20,1436.97630431
2016-04-21,1424.76854237
2016-04-22,1478.45446965
2016-04-23,1117.82070558
2016-04-24,836.01684823
2016-04-25,1476.21667923
2016-04-26,1515.88469425
2016-04-27,1496.62360253
2016-04-28,1496.39223607
2016-04-29,1404.87076504
2016-04-30,1032.7850909
2016-05-01,817.279740982
2016-05-02,929.484990311
2016-05-03,1307.56713245
2016-05-04,1415.57759337
2016-05-05,1410.22769776
2016-05-06,4199.72819174
2016-05-07,1106.93343723
2016-05-08,866.984461701
2016-05-09,1362.94528437
2016-05-10,1462.57891196
2016-05-11,1491.25941143
2016-05-12,1379.45151421
2016-05-13,1424.88329933
2016-05-14,1094.0001866
2016-05-15,898.027525186
2016-05-16,1379.37368263
2016-05-17,1449.85173398
2016-05-18,1530.14307987
2016-05-19,1413.9904886
2016-05-20,1480.33494645
2016-05-21,1112.04098171
2016-05-22,935.271993666
2016-05-23,1445.03434483
2016-05-24,1516.36878396
2016-05-25,1546.03007781
2016-05-26,1518.00118712
2016-05-27,2834.3014527
2016-05-28,1224.94494041
2016-05-29,1081.69375976
2016-05-30,1590.53616473
2016-05-31,1644.6482328
2016-06-01,1458.07313226
2016-06-02,1461.46336895
2016-06-03,1504.73762736
2016-06-04,1219.06742276
2016-06-05,1008.7689202
2016-06-06,1604.706777
2016-06-07,1625.87857554
2016-06-08,1590.72755749
2016-06-09,911.728524975
2016-06-10,1084.68842268
2016-06-11,1046.83892363
2016-06-12,1287.42177238
2016-06-13,1458.37157395
2016-06-14,1473.33516596
2016-06-15,1460.97596715
2016-06-16,1458.38355141
2016-06-17,1481.54250064
2016-06-18,1763.30216222
2016-06-19,1466.44989836
2016-06-20,1699.12133425
2016-06-21,1685.5406305
2016-06-22,1614.80760323
2016-06-23,1518.89185042
2016-06-24,1577.24989513
2016-06-25,1226.93954479
2016-06-26,1012.00603197
2016-06-27,1513.04309242
2016-06-28,1550.80522994
2016-06-29,1564.3797995
2016-06-30,1505.98891331
2016-07-01,1468.65958097
2016-07-02,1155.29840478
2016-07-03,992.987862401
2016-07-04,1481.26397487
2016-07-05,1486.01181941
2016-07-06,1468.99528309
2016-07-07,1483.30647648
2016-07-08,1511.18253373
2016-07-09,1202.75267474
2016-07-10,1046.26887826
2016-07-11,1470.82398098
2016-07-12,1494.927889
2016-07-13,1500.64437393
2016-07-14,1469.29135449
2016-07-15,1503.55386272
2016-07-16,1223.62869306
2016-07-17,1043.83941164
2016-07-18,1482.31599068
2016-07-19,1494.32913605
2016-07-20,1444.44299397
2016-07-21,1484.82588539
2016-07-22,1551.74007991
2016-07-23,1220.25889523
2016-07-24,1021.67293584
2016-07-25,1468.13727231
2016-07-26,1490.1943424
2016-07-27,1476.66156434
2016-07-28,1463.50317077
2016-07-29,1491.61198099
2016-07-30,1185.30269706
2016-07-31,1049.63453647
2016-08-01,1369.51579411
2016-08-02,1224.10626256
2016-08-03,1486.26787412
2016-08-04,1462.19898927
2016-08-05,1533.66724458
2016-08-06,1278.76896291
2016-08-07,1120.9720076
2016-08-08,1517.2951663
2016-08-09,1463.26693741
2016-08-10,1442.14521468
2016-08-11,1432.39701821
2016-08-12,1495.79565383
2016-08-13,1175.98009879
2016-08-14,971.742758661
2016-08-15,1507.19116689
2016-08-16,1500.86613948
2016-08-17,1509.791701
2016-08-18,1501.29028614
2016-08-19,1576.58176366
2016-08-20,1254.59305595
2016-08-21,1057.91516241
2016-08-22,1517.32448853
2016-08-23,1554.4895404
2016-08-24,1587.27225308
2016-08-25,1615.21971004
2016-08-26,1629.68253016
2016-08-27,1334.65784699
2016-08-28,1107.74312483
2016-08-29,1565.92736486
2016-08-30,1580.99931401
2016-08-31,1641.58603277
2016-09-01,1566.39369723
2016-09-02,1645.44957592
2016-09-03,1361.24324479
2016-09-04,1214.14077365
2016-09-05,1613.62091945
2016-09-06,1696.11256716
2016-09-07,1750.44967062
2016-09-08,1775.91600205
2016-09-09,1996.03500049
2016-09-10,1675.0521499
2016-09-11,1449.7288152
2016-09-12,1882.53154736
2016-09-13,1899.40773184
2016-09-14,1804.04415358
2016-09-15,1005.62013162
2016-09-16,1233.98424761
2016-09-17,1288.29274729
2016-09-18,1568.38315657
2016-09-19,1672.17100375
2016-09-20,1747.14501305
2016-09-21,1715.13121751
2016-09-22,1726.79419708
2016-09-23,1838.23710529
2016-09-24,1499.05382448
2016-09-25,1327.23050416
2016-09-26,1781.77849195
2016-09-27,1918.69917296
2016-09-28,1877.15242532
2016-09-29,1822.92847095
2016-09-30,1813.67359853
2016-10-01,1187.73453881
2016-10-02,1298.08773938
2016-10-03,1324.0739419
